G:A	2	H/H	trans-W/H	3
G:A	2	H/H_qe	trans-W/H	3
G:A	2	H/H	cis-H/W	2
G:A	2	H_e/H_e	trans-W/H	1
G:5MC	2	H_e/H_ie	trans-W/W	2
G:5BU	2	H_qe/H_qe	cis-W/W	2
G:5BU	2	H/H	cis-W/W	3
C:U	2	H_qe/H_qe	cis-W/W	1
C:U	2	H/H_qe	NA	1
C:U	2	H/H_i	cis-W/W	2
C:G	2	H_qe/H_qe	cis-W/W	3
C:G	2	H_qe/H_qe	cis-H/W	1
C:G	2	H_qe/H	NA	2
C:G	2	H_qe/H_i	NA	3
C:G	2	H_qe/H	cis-W/W	3
C:G	2	H_qe/H	cis-W/W	1
C:G	2	H_i/H	cis-W/.	1
C:G	2	H_ie/H_ie	trans-W/W	4
C:G	2	H_ie/H_ie	trans-W/W	2
C:G	2	H_ie/H_e	NA	2
C:G	2	H/H_qe	cis-W/W	4
